,title,author,purchase,book_image,,
,She Persisted in Science: Brilliant Women Who Made a Difference,Chelsea Clinton,https://www.kewandwillow.com/book/9780593353295,https://images.booksense.com/images/295/353/9780593353295.jpg,,
,Hidden Figures: The True Story of Four Black Women and the Space Race, Margot Lee Shetterly,https://www.kewandwillow.com/book/9780062742469,https://images.booksense.com/images/469/742/9780062742469.jpg,,
,The Doctor with an Eye for Eyes: The Story of Dr. Patricia Bath,Julia Finley Mosca,https://www.kewandwillow.com/book/9781943147311,https://images.booksense.com/images/311/147/9781943147311.jpg,,
,Mae Among the Stars,Roda Ahmed,https://www.kewandwillow.com/book/9780062651730,https://images.booksense.com/images/730/651/9780062651730.jpg,,
,Wangariâ€™s Trees of Peace: A True Story from Africa,Jeanette Winter,https://www.kewandwillow.com/book/9781328869210,https://images.booksense.com/images/210/869/9781328869210.jpg,,
,The Girl With a Mind for Math: The Story of Raye Montague,Julia Finley Mosca,https://www.kewandwillow.com/book/9781943147427,https://images.booksense.com/images/427/147/9781943147427.jpg,,
,Shark Lady,Jess Keating,https://www.kewandwillow.com/book/9781492642046,https://images.booksense.com/images/046/642/9781492642046.jpg,,
,The Astronaut With a Song for the Stars: The Story of Dr. Ellen Ochoa,Julia Finley Mosca,https://www.kewandwillow.com/book/9781943147632,https://images.booksense.com/images/632/147/9781943147632.jpg,,
,Vision of Beauty: The Story of Sarah Breedlove Walker,Kathryn Lasky,https://www.kewandwillow.com/book/9780763660925,https://images.booksense.com/images/925/660/9780763660925.jpg,,
,Katherine Johnson (You Should Meet),Thea Feldman,https://www.kewandwillow.com/book/9781534403406,https://images.booksense.com/images/406/403/9781534403406.jpg,,
,Mae Jemison (You Should Meet),Laurie Calkhoven,https://www.kewandwillow.com/book/9781481476492,https://images.booksense.com/images/492/476/9781481476492.jpg,,
,Queen of Physics: How Wu Chien Shiung Helped Unlock the Secrets of the Atom,Teresa Robeson,https://www.kewandwillow.com/book/9781454932208,https://images.booksense.com/images/208/932/9781454932208.jpg,,
,A Computer Called Katherine,Suzanne Slade ,https://www.kewandwillow.com/book/9780316435178,https://images.booksense.com/images/178/435/9780316435178.jpg,,
,Counting on Katherine: How Katherine Johnson Saved Apollo 13,Helaine Becker,https://www.kewandwillow.com/book/9781250137524,https://images.booksense.com/images/524/137/9781250137524.jpg,,
,Maya Lin: Artist-Architect of Light and Lines,Jeanne Walker Harvey,https://www.kewandwillow.com/book/9781250112491,https://images.booksense.com/images/491/112/9781250112491.jpg,,
,The World Is Not a Rectangle: A Portrait of Architect Zaha Hadid,Jeanette Winter,https://www.kewandwillow.com/book/9781481446693,https://images.booksense.com/images/693/446/9781481446693.jpg,,
,"Sweet Dreams, Sarah",Vivian Kirkfield,https://www.kewandwillow.com/book/9781939547316,https://images.booksense.com/images/316/547/9781939547316.jpg,,
,Born Curious: 20 Girls Who Grew Up to Be Awesome Scientists,Martha Freeman,https://www.kewandwillow.com/book/9781534421530,https://images.booksense.com/images/530/421/9781534421530.jpg,,
,Women in Science: 50 Fearless Pioneers Who Changed the World,Rachel Ignotofsky,https://www.kewandwillow.com/book/9781607749769,https://images.booksense.com/images/769/749/9781607749769.jpg,,
,Path to the Stars: My Journey from Girl Scout to Rocket Scientist,Sylvia Acevedo,https://www.kewandwillow.com/book/9780358206934,https://images.booksense.com/images/934/206/9780358206934.jpg,,
,Black Women in Science: A Black History Book for Kids,Kimberly Brown Pellum,https://www.kewandwillow.com/book/9781641527071,https://images.booksense.com/images/071/527/9781641527071.jpg,,
,"Dinosaur Lady: The Daring Discoveries of Mary Anning, the First Paleontologist",Linda Skeers,https://www.kewandwillow.com/book/9781728209517,https://images.booksense.com/images/517/209/9781728209517.jpg,,
,"Numbers in Motion: Sophie Kowalevski, Queen of Mathematics",Laurie Wallmark,https://www.kewandwillow.com/book/9781939547637,https://images.booksense.com/images/637/547/9781939547637.jpg,,
,Ada Lovelace,Maria Isabel Sanchez Vegara,https://www.kewandwillow.com/book/9781786030764,https://images.booksense.com/images/764/030/9781786030764.jpg,,